driver name;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
Minardi;;;;;;;;;x;;;;;;;;x;;;;;;;;x;;;;;;;;;
Mike Murphy;;;;;;;;;x;;;;;;;;x;;;;;;;;;x;;;;;;;;
Palo_O;;;;;;;;;x;;;;;;;;x;;;;;;;;;x;;;;;;;;
White Van Man;;;;;;;;;x;;;;;;;;;x;;;;;;;;x;;;;;;;;
Perre;;;;;;;;;x;;;;;;;;;x;;;;;;;;x;;;;;;;;
IxDo;;;;;;;;;x;;;;;;;;x;;;;;;;;;x;;;;;;;;
Doghouse;;;;;;;;;x;;;;;;;;x;;;;;;;;x;;;;;;;;;
Royal_T62;;;;;;;;;;x;;;;;;;;x;;;;;;;;x;;;;;;;;
Nomosizzle;;;;;;;;;x;;;;;;;;;x;;;;;;;;x;;;;;;;;
Kenjo;;;;;;;;;x;;;;;;;;;x;;;;;;;;x;;;;;;;;
ImPERium;;;;;;;;;x;;;;;;;;x;;;;;;;;;x;;;;;;;;
Bearder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
