Driver;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
Starwrek;1;3;3;3;3;3;2;2;1;1;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
McVizn;5;2;1;1;1;1;1;1;2;4;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
BlackRebel;3;4;4;5;5;5;4;4;4;2;5;5;5;4;4;4;4;4;5;5;4;4;4;4;4;5;3;3;3;3;3;3;3;3
Dremet;4;5;5;4;4;4;3;3;3;5;4;4;3;3;3;3;3;3;4;4;3;3;3;3;3;3;4;4;4;4;4;4;4;4
polruiz12;2;1;2;2;2;2;5;6;5;3;1;2;4;6;5;5;5;5;3;3;5;7;7;7;6;4;5;5;5;5;5;5;5;
Stonie;7;9;9;7;7;7;9;7;6;7;7;7;7;7;6;6;6;6;6;6;6;5;5;5;5;6;6;6;6;6;6;6;6;
daone1996jr;6;8;8;8;8;8;7;9;9;9;9;9;8;8;7;7;7;7;8;7;7;6;6;6;7;7;7;7;7;7;7;7;7;
cmcmgu;8;6;7;9;9;9;8;8;8;8;8;8;9;9;8;8;8;8;9;9;8;8;8;8;8;9;8;8;8;8;8;8;8;
Bixon;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;9;10;10;10;9;9;9;9;9;8;9;9;9;9;9;9;;
mtta.andres;9;7;6;6;6;6;6;5;7;6;6;6;6;5;10;10;10;9;7;8;10;10;10;10;10;10;10;10;10;10;10;10;;
muritopin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patient Zero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
